eop_scientificname_verbatim,scientificname_verbatim,type_locality,habitat,notes
Gephyreaster swifti,Gephyreaster swifti,,,
Gersemia rubiformis,Gersemia rubiformis,,,
Gigantocypris agassizii,Gigantocypris agassizii,,,
Gitanopsis vilordes,Gitanopsis vilordes,,,
Glans carpenteri,Glans carpenteri,,,
Glossobalanus berkeleyi,Glossobalanus berkeleyi,,,
Glycera americana,Glycera americana,,,
Glycera capitata,Glycera capitata,,,
Glycera convoluta,Glycera convoluta,,,
Glycera gigantea,Glycera gigantea,,,
Glycera robusta,Glycera robusta,,,
Glycera tenuis,Glycera tenuis,,,
Glycera tesselata,Glycera tesselata,,,
Glycinde armigera,Glycinde armigera,,,
Glycinde picta,Glycinde picta,,,
Glycinde polygnatha,Glycinde polygnatha,,,
Glycymeris,Glycymeris,,,
Glycymeris corteziana,Glycymeris corteziana,,,
Glycymeris subobsoleta,Glycymeris subobsoleta,,,
Gnathostomula karlingi,Gnathostomula karlingi,,,
Gnorimosphaeroma insulare,Gnorimosphaeroma insulare,,,
Gnorimosphaeroma noblei,Gnorimosphaeroma noblei,,,
Gnorimosphaeroma oregonensis,Gnorimosphaeroma oregonensis,,,
Golfingia margaritacea,Golfingia margaritacea,,,needs study
Thysanocardia nigra,Thysanocardia nigra,,,
Golfingia vulgaris,Golfingia vulgaris,,,
Gonatopsis borealis,Gonatopsis borealis,,,
Gonatus berryi,Gonatus berryi,,,
Gonatus californiensis,Gonatus californiensis,,,
Gonatus madokai,Gonatus madokai,,,
Gonatus onyx,Gonatus onyx,,,
Gonatus oregonensis,Gonatus oregonensis,,,
Gonatus pyros,Gonatus pyros,,,
Gonatus ursabrunae,Gonatus ursabrunae,,,
Goniada annulata,Goniada annulata,,,
Goniada brunnea,Goniada brunnea,,,
Goniada maculata,Goniada maculata,,,
Gonionemus vertens,Gonionemus vertens,,,
Gonothyraea loveni,Gonothyraea loveni,,,
Gonothyraea spp.,Gonothyraea,,,
Gorgonocephalus eucnemis,Gorgonocephalus eucnemis,,,
Grammaria spp.,Grammaria,,,
Grandifoxus grandis,Grandifoxus grandis,,,
Grania incerta,Grania incerta,,,
Grania paucispina,Grania paucispina,,,
Grantia comoxensis,Grantia comoxensis,,,Koz: known only from type
Grantia compressa,Grantia compressa,,,
Granulina margaritula,Granulina margaritula,,,
Gymnocrater baxteri,Cocculina baxteri,,deep,presumably; based on family and searches
Gyratrix hermaphroditus,Gyratrix hermaphroditus,,,
Gyratrix proaviformis,Gyratrix proaviformis,,,
Idas washingtonius,Habepegris washingtonia,,deep,
Haeckelia rubra,Haeckelia rubra,,,
Halcampa crypta,Halcampa crypta,,,
Halcampa decemtentaculata,Halcampa decemtentaculata,,,
Halcampoides purpurea,Halcampoides purpurea,,,
Halecium,Halecium,,,
Halecium kofoidi,Halecium kofoidi,,,
Halecium labrosum,Halecium labrosum,,,
Halecium muricatum,Halecium muricatum,,,
Halecium spp.,Halecium,,,
Halicardia perplicata,Halicardia perplicata,,deep,
Halicella halona,Rhynohalicella halona,,,"originally described in Halicella, WoRMS missing parantheses"
Halichondria bowerbanki,Halichondria bowerbanki,,,
Halichondria panicea,Halichondria panicea,,,
Halichondria spp.,Halichondria,,,
Chalinula ecbasis,Chalinula ecbasis,,,
Haliclona permollis,Haliclona permollis,,,
Haliclystus salpinx,Haliclystus salpinx,,,"undescribed, not salpinx"
Haliclystus stejnegeri,Haliclystus stejnegeri,,,
Halimedusa typus,Halimedusa typus,,,
Haliophasma geminata,Haliophasma geminata,,,
Haliotis cracherodii,Haliotis cracherodii,,,
Haliotis kamtschatkana,Haliotis kamtschatkana,,,
Haliotis rufescens,Haliotis rufescens,,,
Haliotis walallensis,Haliotis walallensis,,,
Haliplanella lineata,Haliplanella lineata,,,
Halisarca sacra,Halisarca sacra,,,
Halistylus pupoideus,Halistylus pupoideus,,,
Halitholus pauper,Halitholus pauper,,,
Halitholus sp.,Halitholus,,,
Hallaxa chani,Hallaxa chani,,,
Halobisium occidentale,Halobisium occidentale,,,
Halocynthia aurantium,Halocynthia aurantium,,,
Halocynthia igaboja,Halocynthia igaboja,,,
Halosydna brevisetosa,Halosydna brevisetosa,,,
Hamigera lundbecki,Hymenancora lundbecki,,,match tentative; from WoRMS; Koz has as H. aff lundbecki (real sp from Indonesia) = Lissodendoryx aff. kyma in Bakus 1966
Haminoea vesicula,Haminoea vesicula,,,
Haminoea virescens,Haminoea virescens,,,
Hanleya oldroydi,Hanleyella oldroydi,,,"""subtidal, rare"""
Hansenulus trebax,Hansenulus trebax,,,
Hapalogaster grebnitzkii,Hapalogaster grebnitzkii,,,
Hapalogaster mertensii,Hapalogaster mertensii,,,
Haploops tubicola,Haploops tubicola,,,
Haplosyllis spongicola subsp. spongicola,Haplosyllis spongicola spongicola,,,
Harbansus mayeri,Harbansus mayeri,,,
Harmothoe extenuata,Harmothoe extenuata,,,
Harmothoe fragilis,Harmothoe fragilis,,,
Harmothoe imbricata,Harmothoe imbricata,,,
Harmothoe lunulata,Harmothoe lunulata,,,
Harmothoe multisetosa,Harmothoe multisetosa,,,
Harpiniopsis fulgens,Harpiniopsis fulgens,,,
Hataia parva,Hataia parva,,,
Thyone benti,Thyone benti,,,
Hebella spp.,Hebella,,,
Hedgpethia californica,Hedgpethia californica,,,
Hedylopsis sp.,Hedylopsis,,,
Helicoptilum rigidum,Helicoptilum rigidum,,,not in WoRMS
Endectyon hyle,Endectyon hyle,,,
Hemiarthrus abdominalis,Hemiarthrus abdominalis,,,
Hemicyclops subadhaerens,Hemicyclops subadhaerens,,,
Hemicyclops thysanotus,Hemicyclops thysanotus,,,
Hemicythere bicarina,Hemicythere bicarina,,,
Hemigrapsus nudus,Hemigrapsus nudus,,,
Hemigrapsus oregonensis,Hemigrapsus oregonensis,,,
Hemilamprops,Hemilamprops,,,
Hemilamprops gracilis,Hemilamprops gracilis,,,
Hemioniscus balani,Hemioniscus balani,,,
Hemipenaeus spinidorsalis,Hemipenaeus spinidorsalis,,,
Hemipodus borealis,Hemipodus borealis,,,
Hemithiris psittacea,Hemithiris psittacea,,,
Henricia aspera,Henricia aspera,,,
Henricia asthenactis,Henricia asthenactis,,,
Henricia leviuscula,Henricia leviuscula,,,
Henricia longispina,Henricia longispina,,,
Henricia polyacantha,Henricia polyacantha,,deep,
Henricia sanguinolenta,Henricia sanguinolenta,,,
Henricia sp.,Henricia,,,
Heptabrachia ctenophora,Heptabrachia ctenophora,,,
Heptacarpus brevirostris,Heptacarpus brevirostris,,,
Heptacarpus camtschaticus,Heptacarpus camtschaticus,,,
Heptacarpus carinatus,Heptacarpus carinatus,,,
Heptacarpus decorus,Heptacarpus decorus,,,
Heptacarpus flexus,Heptacarpus flexus,,,
Heptacarpus herdmani,Heptacarpus herdmani,,,
Heptacarpus kincaidi,Heptacarpus kincaidi,,,
Heptacarpus littoralis,Heptacarpus littoralis,,,
Heptacarpus moseri,Heptacarpus moseri,,,
Heptacarpus paludicola,Heptacarpus paludicola,,,
Heptacarpus pictus,Heptacarpus sitchensis,,,WoRMS syn
Heptacarpus pugettensis,Heptacarpus pugettensis,,,
Heptacarpus sitchensis,Heptacarpus sitchensis,,,
Heptacarpus stimpsoni,Heptacarpus stimpsoni,,,
Heptacarpus stylus,Heptacarpus stylus,,,
Heptacarpus taylori,Heptacarpus taylori,,,
Heptacarpus tenuissimus,Heptacarpus tenuissimus,,,
Heptacarpus tridens,Heptacarpus tridens,,,
Hermadion truncata,Hermadion truncata,,,"two authors, jr name in Koz"
Aplysiopsis olivae,Aplysiopsis olivae,,,
Hermaea vancouverensis,Hermaea vancouverensis,,,
Hermanella,Herrmannella,,,misspelled
Hermissenda crassicornis,Hermissenda crassicornis,,,
Hesionura coineaui subsp. difficilis,Hesionura coineaui difficilis,,,
Hesperonoe adventor,Hesperonoe adventor,,,
Hesperonoe complanata,Hesperonoe complanata,,,
Heteromastus filiformis,Heteromastus filiformis,,,
Heteromastus filobranchus,Heteromastus filobranchus,,,
Heteromysis odontops,Heteromysis odontops,,,
Heterophoxus oculatus,Heterophoxus oculatus,,,
Heteropora alaskensis,Heteropora alaskensis,,,
Heteropora magna,Heteropora magna,,,
Heteropora pacifica,Heteropora pacifica,,,
Heterotiara anonyma,Heterotiara anonyma,,,
Heterozonias alternatus,Heterozonias alternatus,,deep,
Hexadella sp.,Hexadella,,,
Hiatella arctica,Hiatella arctica,,,
Higginsia higgini,Higginsia higgini,,,
Hincksina alba,Hincksina alba,,,
Hincksina pallida,Hincksina pallida,,,
Crassadoma gigantea,Crassadoma gigantea,,,
Hippasteria californica,Hippasteria californica,,deep,
Hippasteria spinosa,Hippasteria spinosa,,,
Primavelans insculpta,Primavelans insculpta,,,
Hippodiplosia reticulatopunctata,Hippodiplosia reticulatopunctata,,,
Hippolyte clarki,Hippolyte clarki,,,
Hippomedon spp.,Hippomedon,,,
Hippomonavella longirostrata,Pleurocodonellina longirostrata,,,
Hipponix cranioides,Hipponix cranioides,,,
Hippoporella nitescens,Hippoporella nitescens,,,
Hippothoa divaricata,Hippothoa divaricata,,,
Hippothoa hyalina,Hippothoa hyalina,,,
Histioteuthis hoylei,Histioteuthis hoylei,,,check; eop had as H. hoylei
Hobsonia florida,Hobsonia florida,,,
Holmesiella anomala,Holmesiella anomala,,,
Holmesimysis costata,Holmesimysis costata,,,
Holmesimysis nuda,Holmesimysis nuda,,,
Holmesimysis nudensis,Holmesimysis nudensis,,,
Holmesimysis sculpta,Holmesimysis sculpta,,,
Holmesimysis sculptoides,Holmesimysis sculptoides,,,
Hololepida magna,Hololepida magna,,,
Holophryxus alaskensis,Holophryxus alaskensis,,,
Holoporella brunnea,Celleporaria brunnea,,,
Homalopoma lacunatum,Homalopoma lacunatum,,,
Homalopoma luridum,Homalopoma luridum,,,
Homalopoma subobsoletum,Homalopoma subobsoletum,,,
Hopkinsia rosacea,Hopkinsia rosacea,,,
Hormiphora cucumis,Hormiphora cucumis,,,
Humilaria kennerlyi,Humilaria kennerlyi,,,
Huxleyia munita,Huxleyia munita,,,Oregon & S
Hyale,Hyale,,,
Hyale anceps,Hyale anceps,,,
Hyale frequens,Hyale frequens,,,
Hyale plumulosa,Hyale plumulosa,,,
Hyale pugettensis,Hyale pugettensis,,,not in WoRMS
Hyalopecten neoceanus,Hyalopecten neoceanus,,deep,
Hyas lyratus,Hyas lyratus,,,
Hybocodon prolifer,Hybocodon prolifer,,,
Hyboscolex pacificus,Hyboscolex pacificus,,,
Hydractinia aggregata,Hydractinia aggregata,,,
Hydractinia laevispina,Hydractinia laevispina,,,
Hydractinia milleri,Hydractinia milleri,,,
Hydractinia sp.,Hydractinia,,,
Hydrallmania spp.,Hydrallmania,,,
Hydrodendron spp.,Hydrodendron,,,
Iophon rayae,Iophon rayae,,,
Hymedesmia spp.,Hymedesmia,,,
Acanthancora cyanocrypta,Acanthancora cyanocrypta,,,
Hymenancora sp.,Hymenancora,,,
Hymenaster pellucidus,Hymenaster pellucidus,,deep,diff sp in eop
Hymenaster quadrispinosus,Hymenaster quadrispinosus,,deep,
Plocamionida lyoni,Plocamionida lyoni,,,
Hymeniacidon perlevis,Hymeniacidon perlevis,,,
Hymeniacidon sinapium,Hymeniacidon sinapium,,,
Hymeniacidon ungodon,Hymeniacidon ungodon,,,
Hymeniacidon sp.,Hymeniacidon,,,
Hymenodora acanthitelsonis,Hymenodora acanthitelsonis,,,
Hymenodora frontalis,Hymenodora frontalis,,,
Hymenodora glacialis,Hymenodora glacialis,,,
Ianiropsis analoga,Ianiropsis analoga,,,
Ianiropsis kincaidi,Ianiropsis kincaidi,,,
Ianiropsis magnocula,Ianiropsis magnocula,,,
Ianiropsis tridens,Ianiropsis tridens,,,
Idanthyrsus macropalea,Idanthyrsus macropalea,,,
Idanthyrsus saxicavus,Idanthyrsus saxicavus,,,
Idarcturus hedgpethi,Idarcturus hedgpethi,,,
Pentidotea aculeata,Pentidotea aculeata,,,
Idotea fewkesi,Idotea fewkesi,,,
Pentidotea kirchanskii,Pentidotea kirchanskii,,,
Pentidotea montereyensis,Pentidotea montereyensis,,,
Idotea obscura,Idotea obscura,,,
Idotea ochotensis,Idotea ochotensis,,,
Idotea urotoma,Idotea urotoma,,,
Pentidotea resecata,Pentidotea resecata,,,
Idotea rufescens,Idotea rufescens,,,
Pentidotea schmitti,Pentidotea schmitti,,,
Pentidotea stenops,Pentidotea stenops,,,
Pentidotea wosnesenskii,Pentidotea wosnesenskii,,,
Nassarius obsoletus,Nassarius obsoletus,,,
Immergentia sp.,Immergentia,,,
Inusitatomysis insolita,Inusitatomysis insolita,,,
Invenusta paracnida,Invenusta paracnida,,,
Ione cornuta,Ione cornuta,,,
Iophon lamella,Iophon lamella,,,
Iophon piceus var. pacifica,Iophon piceus var. pacifica,,,
Iothia lindbergi,Iothia lindbergi,,,
Ischnochiton abyssicola,Ischnochiton abyssicola,,deep,
Ischnochiton interstinctus,Ischnochiton interstinctus,,,
Inchnochiton trifidus,Ischnochiton trifidus,,,
Ischyrocerus anguipes,Ischyrocerus anguipes,,,
Ischyrocerus serratus,Ischyrocerus serratus,,,
Ischyrocerus sp.,Ischyrocerus,,,
Iselica obtusa,Iselica obtusa,,,
Iselica ovoidea,Iselica ovoidea,,,
Isocirrus longiceps,Isocirrus longiceps,,,
Isocyamus delphinii,Isocyamus delphinii,,,
Itaipusa bispina,Itaipusa bispina,,,
Itaipusa curvicirra,Itaipusa curvicirra,,,
Itaspiella armata,Itaspiella armata,,,
Joeropsis setosa,Joeropsis setosa,,,
Janiralata occidentalis,Janiralata occidentalis,,,
Janiralata solasteri,Janiralata solasteri,,,
Janolus barbarensis,Janolus barbarensis,,,
Janolus fuscus,Janolus fuscus,,,
Janthina globosa,Janthina globosa,,,
Janua pagenstecheri,Janua pagenstecheri,,,
Japatella diaphana,Japetella diaphana,,,
Jasmineira pacifica,Jasmineira pacifica,,,
Jassa spp.,Jassa,,,
Johanssonia sp.,Johanssonia,,,
Jones amaknakensis,Jones amaknakensis,,,
Jonesia rostrata,Jonesia rostrata,,,
Kaburakia excelsa,Kaburakia excelsa,,,
Katadesmia gibbsi,Katadesmia gibbsi,,deep,gibbsii in Koz; check spell again
Katharina tunicata,Katharina tunicata,,,
Kefersteinia cirrata,Kefersteinia cirrata,,,
Kellia suborbicularis ,Kellia suborbicularis ,,,
Kelliella galatheae,Kelliella galatheae,,deep,
Keratella cochlearis subsp. tecta,Keratella cochlearis tecta,,,
Kermystheus ociosa,Kermystheus ociosa,,,
Kinorhynchus cataphractus,Kinorhynchus cataphractus,,,
Kinorhynchus ilyocryptus,Kinorhynchus ilyocryptus,,,
Kophobelemnon affine,Kophobelemnon affine,,,
Kophobelemnon biflorum,Kophobelemnon biflorum,,,
Kophobelemnon hispidum,Kophobelemnon hispidum,,,
Koroga megalops,Koroga megalops,,,
Kronborgia pugettensis,Kronborgia pugettensis,,,
Kurtzia arteaga,Kurtzia arteaga,,,
Kurtzia variegata,Kurtzia variegata,,,
Kurtziella plumbea,Kurtziella plumbea,,,
Labidochirus splendescens,Labidochirus splendescens,,,
Lacerna fistulata,Lacerna fistulata,,,probably Schizoporella fistulata
Lacuna marmorata,Lacuna marmorata,,,
Lacuna porrecta,Lacuna porrecta,,,
Lacuna variegata,Lacuna variegata,,,
Lacuna vincta,Lacuna vincta,,,
Laetmogone wyvillethompsoni,Laetmogone wyvillethompsoni,,deep,
Laetmonice pellucida,Laetmonice pellucida,,,
Laetmophasma fecundum,Laetmophasma fecundum,,deep,
Lafoea dumosa,Lafoea dumosa,,,
Lafoea spp.,Lafoea,,,
Lagenipora punctulata,Lagenicella punctulata,,,
Lagenipora socialis,Lagenipora socialis,,,in ITIS not in WoRMS
Lagunogammarus setosus,Gammarus setosus,,,
Laila cockerelli,Laila cockerelli,,,
Lamellaria diegoensis,Lamellaria diegoensis,,,
Lamellibrachia barhami,Lamellibrachia barhami,,,
Lamellisabella coronata,Lamellisabella coronata,,,
Lamellisabella zachsi,Lamellisabella zachsi,,,
Lamprops,Lamprops,,,
Lamprops beringi,Lamprops beringi,,,
Lamprops carinatus,Lamprops carinatus,,,
Lamprops fuscatus,Lamprops fuscatus,,,
Lamprops krasheninnikovi,Lamprops krasheninnikovi,,,not in WoRMS
Lamprops serratus,Lamprops serratus,,,
Lanassa venusta subsp. venusta,Lanassa venusta venusta,,,
Lanice sp.,Lanice,,,
Laodicea sp.,Laodicea,,,
Laonice cirrata,Laonice cirrata,,,
Laonice pugettensis,Laonice pugettensis,,,
Laonome kroyeri,Laonome kroyeri,,,
Laphania boecki,Laphania boecki,,,
Laqueus vancouveriensis,Laqueus vancouveriensis,,,
Lasaea subviridis,Lasaea subviridis,,,
Laternula limicola,Laternula limicola,,,"intro to Coos Bay, but no recent records"
Latrunculia sp.,Latrunculia,,,
Laxosuberites sp.,Laxosuberites,,,
Leachia pacifica,Leachia pacifica,,,
Leanea ebranchiata,Leanea ebranchiata,,,
Lebbeus grandimanus,Lebbeus grandimanus,,,
Lebbeus groenlandicus,Lebbeus groenlandicus,,,
Lebbeus schrencki,Lebbeus schrencki,,,
Lebbeus washingtonianus,Lebbeus washingtonianus,,,
Lebbeus sp.,Lebbeus,,,
Haploscoloplos panamensis,Haploscoloplos panamensis,,,
Leitoscoloplos pugettensis,Leitoscoloplos pugettensis,,,
Lensia baryi,Lensia baryi,,,
Lensia conoidea,Lensia conoidea,,,
Lepas,Lepas,,,
Lepas anatifera,Lepas anatifera,,,
Lepas fascicularis,Lepas fascicularis,,,
Lepas hilli,Lepas hilli,,,
Lepas pacifica,Lepas pacifica,,,
Lepeta caeca,Lepeta caeca,,,
Lepidasthenia berkeleyae,Lepidasthenia berkeleyae,,,
Lepidasthenia longicirrata,Lepidasthenia longicirrata,,,
Lepidepecreum garthi,Lepidepecreum garthi,,,
Lepidepecreum gurjanovae,Lepidepecreum gurjanovae,,,
Lepidochitona dentiens,Lepidochitona dentiens,,,
Lepidochitona fernaldi,Lepidochitona fernaldi,,,
Lepidochitona hartwegii,Lepidochitona hartwegii,,,
Lepidonotus squamatus,Lepidonotus squamatus,,,
Lepidozona cooperi,Lepidozona cooperi,,,
Lepidozona mertensii,Lepidozona mertensii,,,
Lepidozona retiporosa,Lepidozona retiporosa,,,
Lepidozona scabricostata,Lepidozona scabricostata,,,
Lepidozona willetti,Lepidozona willetti,,,
Lepraliella bispina,Porella bispina,,,
Leptasterias hexactis,Leptasterias hexactis,,,
Leptochelia savignyi,Leptochelia savignyi,,,
Leptochiton nexus,Leptochiton nexus,,,
Leptochiton rugatus,Leptochiton rugatus,,,
Leptocuma,Leptocuma,,,
Akanthophoreus gracilis,Akanthophoreus gracilis,,,
Leptoplana vesiculata,Leptoplana vesiculata,,,
Leptostylis ,Leptostylis ,,,
Leptostylis villosa,Leptostylis villosa,,,
Leptosynapta clarki,Leptosynapta clarki,,,
Leptosynapta roxtona,Leptosynapta roxtona,,,
Leptosynapta transgressor,Leptosynapta transgressor,,,
Leptychaster anomalus,Leptychaster anomalus,,deep,
Leptychaster arcticus,Leptychaster arcticus,,deep,
Leptychaster inermis,Leptychaster inermis,,deep,
Leptychaster pacificus,Leptychaster pacificus,,,
Lethasterias nanimensis,Lethasterias nanimensis,,deep,
Leucandra heathi,Leucandra heathi,,,
Leucandra levis,Leucandra levis,,,
Leucandra pyriformis,Leucandra pyriformis,,,
Leucandra taylori,Leucandra taylori,,,
Leucilla nuttingi,Leucilla nuttingi,,,
Leuckartiara foersteri,Leuckartiara foersteri,,,
Leuckartiara spp.,Leuckartiara,,,
Leucon,Leucon,,,"Two Leucon in Koz, both with species"
Leucon fulvus,Leucon fulvus,,,
Leucon nasica,Leucon nasica,,,
Leucopsila stylifera,Leucopsila stylifera,,,
Leucosolenia eleanor,Leucosolenia eleanor,,,
Leucosolenia nautilia,Leucosolenia nautilia,,,
Leucosolenia spp.,Leucosolenia,,,
Leucothea sp.,Leucothea,,,
Leucothoe spp.,Leucothoe,,,
Leuroleberis sharpei,Leuroleberis sharpei,,,
Levinsenia rectangulata,Levinsenia rectangulata,,,
Lichenopora novae-zelandiae,Lichenopora novae-zelandiae,,,
Lichenopora verrucaria,Lichenopora verrucaria,,,
Lictorella,Lictorella,,,
Ligia occidentalis,Ligia occidentalis,,,
Ligia pallasii,Ligia pallasii,,,
Limacina helicina,Limacina helicina,,,
Limalepeta caecoides,Lepeta caecoides,,,
Limatula attenuata,Limatula attenuata,,,
Limatula saturna,Limatula saturna,,,
Limatula subauriculata,Limatula subauriculata,,,
Limatula vancouverensis,Limatula vancouverensis,,deep,
Limnodriloides monothecus,Limnodriloides monothecus,,,
Limnodriloides victoriensis,Limnodriloides victoriensis,,,
Limnoria algarum,Limnoria algarum,,,
Limnoria lignorum,Limnoria lignorum,,,
Limnoria tripunctata,Limnoria tripunctata,,,
Limopsis akutanica,Limopsis akutanica,,deep,
Limopsis dalli,Limopsis dalli,,deep,
Lineus bilineatus,Lineus bilineatus,,,
Lineus pictifrons ,Lineus pictifrons ,,,
Lineus ruber,Lineus ruber,,,
Lineus rubescens,Lineus rubescens,,,
Lineus sp.,Lineus,,,
Lineus vegetus,Lineus vegetus,,,
Liocyma fluctuosa,Liocyma fluctuosa,,,
Liponema brevicornis,Liponema brevicornis,,deep,
Liriopsis pygmaea,Liriopsis pygmaea,,,
Elthusa californica,Elthusa californica,,,
Lironeca vulgaris,Lironeca vulgaris,,,
Lirularia lirulata,Lirularia lirulata,,,
Lirularia parcipicta,Lirularia parcipicta,,,
Lirularia succincta,Lirularia succincta,,,
Lissocrangon stylirostris,Lissocrangon stylirostris,,,
Lissodendoryx firma,Lissodendoryx firma,,,
Lissodendoryx sp.,Lissodendoryx,,,
Listriolobus hexamyotus,Listriolobus hexamyotus,,,
Lithodes aequispina,Lithodes aequispina,,,
Lithodes couesi,Lithodes couesi,,,
Lithophaga plumula,Lithophaga plumula,,,
Littorina keenae,Littorina keenae,,,
Littorina plena,Littorina plena,,,
Littorina scutulata,Littorina scutulata,,,
Littorina sitkana,Littorina sitkana,,,
Littorophiloscia richardsonae,Littorophiloscia richardsonae,,,
Locustogammarus levingsi,Locustogammarus levingsi,,,
Loimia medusa,Loimia medusa,,,
Loligo opalescens,Loligo opalescens,,,
Lophaster furcifer subsp. vexator,Lophaster furcifer vexator,,deep,
Lophaster furcilliger,Lophaster furcilliger,,deep,
Lophelia pertusa,Lophelia pertusa,,,
Lopholithodes foraminatus,Lopholithodes foraminatus,,,
Lopholithodes mandtii,Lopholithodes mandtii,,,
Lophopanopeus bellus subsp. bellus,Lophopanopeus bellus,,,
Lophopanopeus bellus subsp. diegensis,Lophopanopeus diegensis,,,
Lottia alveus,Lottia alveus,,,
Lottia asmi,Lottia asmi,,,
Lottia digitalis,Lottia digitalis,,,
Lottia gigantea,Lottia gigantea,,,
Lottia instabilis,Lottia instabilis,,,
Lottia limatula,Lottia limatula,,,
Lottia ochracea,Lottia ochracea,,,
Lottia painei,Lottia painei,,,
Lottia pelta,Lottia pelta,,,
Lottia strigatella,Lottia strigatella,,,
Lottia triangularis,Lottia triangularis,,,
Loxoconcha dentiarticula,Loxoconcha dentiarticula,,,
Loxoconcha fragilis,Loxoconcha fragilis,,,
Loxoconcha tenuiungula,Loxoconcha tenuiungula,,,
Loxokalypus socialis,Loxokalypus socialis,,,
Loxosoma davenporti,Loxosoma davenporti,,,
Loxosomella nordgaardi,Loxosomella nordgaardi,,,
Loxosomella spp.,Loxosomella,,,
Loxothylacus panopaei,Loxothylacus panopaei,,,
Lubbockia,Lubbockia,,,
Parvilucina tenuisculpta,Parvilucina tenuisculpta,,,
Erycina balliana,Lucinoma annulata,,,"was Erycina balliana in online list, but Lucinoma annulata in Koz; corrected now"
Luidia foliolata,Luidia foliolata,,,
Cheiraster dawsoni,Cheiraster dawsoni,,deep,eop changed genus
Lumbricillus annulatus,Lumbricillus annulatus,,,
Lumbricillus curtus,Lumbricillus curtus,,,
Lumbricillus lineatus,Lumbricillus lineatus,,,
Lumbricillus mirabilis,Lumbricillus mirabilis,,,
Lumbricillus pagenstecheri,Lumbricillus pagenstecheri,,,
Lumbricillus qualicumensis ,Lumbricillus qualicumensis ,,,
Lumbricillus tsimpseanis,Lumbricillus tsimpseanis,,,
Lumbricillus tuba,Lumbricillus tuba,,,
Eranno bicirrata,Eranno bicirrata,,,
Lumbrineris californiensis,Lumbrineris californiensis,,,
Lumbrineris cruzensis,Lumbrineris cruzensis,,,
Lumbrineris inflata,Lumbrineris inflata,,,
Lumbrineris japonica,Lumbrineris japonica,,,
Eranno lagunae,Eranno lagunae,,,
Lumbrineris latreilli,Lumbrineris latreilli,,,
Lumbrineris limicola,Lumbrineris limicola,,,
Lumbrineris luti,Lumbrineris luti,,,
Lumbrineris pallida,Lumbrineris pallida,,,
Lumbrineris similabris,Lumbrineris similabris,,,
Lumbrineris zonata,Lumbrineris zonata,,,
Lycastopsis sp.,Lycastopsis,,,
Lyonsia californica,Lyonsia californica,,,
Lyonsiella parva,Lyonsiella parva,,deep,
Lyrula hippocrepis,Jullienula hippocrepis,,,
Lysianassa holmesi,Lysianassa holmesi,,,
Lysilla loveni,Lysilla loveni,,,
Lysippe labiata,Lysippe labiata,,,
Macclintockia scabra,Macclintockia scabra,,,
Macoma balthica,Macoma balthica,,,
Macoma brota,Macoma brota,,,
Macoma calcarea,Macoma calcarea,,,
Macoma carlottensis,Macoma carlottensis,,,
Macoma eliminata,Macoma eliminata,,,
Macoma expansa,Macoma expansa,,,
Macoma inquinata,Macoma inquinata,,,
Macoma moesta,Macoma moesta,,,
Macoma nasuta,Macoma nasuta,,,
Macoma obliqua,Macoma obliqua,,,
Macoma secta,Macoma secta,,,
Macoma yoldiformis,Macoma yoldiformis,,,
Macrochaeta pege,Macrochaeta pege,,,
Macroclymene sp.,Macroclymene,,,
Macrodasys cunctatus,Macrodasys cunctatus,,,
Maera danae,Maera danae,,,
Maera loveni,Maera loveni,,,
Maera simile,Maera simile,,,
Magelona berkeleyi,Magelona berkeleyi,,,
Magelona hobsonae,Magelona hobsonae,,,
Magelona longicornis,Magelona longicornis,,,
Magelona sacculata,Magelona sacculata,,,
Malacobdella spp.,Malacobdella,,,
Malacoceros fuliginosus,Malacoceros fuliginosus,,,
Rhynchospio glutaea,Rhynchospio glutaea,,,
Maldane glebifex,Maldane glebifex,,,
Maldane sarsi subsp. sarsi,Maldane sarsi sarsi,,,
Maldanella harai,Maldanella harai,,,
Maldanella robusta,Maldanella robusta,,,
Malletia faba,Malletia faba,,deep,
Malletia pacifica,Malletia pacifica,,deep,
Malletia talama,Malletia talama,,deep,
Malletia truncata,Malletia truncata,,deep,
Malmiana diminuta,Malmiana diminuta,,,
Malmiana virida,Malmiana virida,,,
Manayunkia aestuarina,Manayunkia aestuarina,,,
Mandibulophoxus gilesi,Mandibulophoxus gilesi,,,
Margarites beringensis,Margarites beringensis,,,
Margarites marginatus,Margarites marginatus,,,
Margarites pupillus,Margarites pupillus,,,
Margarites rhodia,Margarites rhodia,,,
Margarites simblus,Margarites simblus,,deep,
Marionina appendiculata,Marionina appendiculata,,,
Marionina charlottensis,Marionina charlottensis,,,
Marionina glandulifera,Marionina glandulifera,,,
Marionina klaskisharum,Marionina klaskisharum,,,
Marionina neroutsensis,Marionina neroutsensis,,,
Marionina sjaelandica,Marionina sjaelandica,,,
Marionina southerni,Marionina southerni,,,
Marionina subterranea,Marionina subterranea,,,
Marionina vancouverensis,Marionina vancouverensis,,,
Marphysa stylobranchiata,Marphysa stylobranchiata,,,
Marsenina rhombica,Marsenina rhombica,,,
Marsenina stearnsii,Marsenina stearnsii,,,
Marseniopsis sharonae,Marseniopsis sharonae,,,
Marsipobdella sacculata,Marsipobdella sacculata,,,
Mayerella banksia,Mayerella banksia,,,
